GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus,TwoplusOther,TwominusOther_Threeplus
06037187300,3678,2354,105,12,511,0,282,414,261,153
06037188100,3729,1710,81,134,511,0,930,363,226,137
06037188201,3027,2171,119,50,352,0,144,191,73,118
06037188202,3024,1787,179,0,592,0,173,293,50,243
06037188300,3475,1581,12,66,1025,0,477,314,210,104
06037189101,2328,1760,109,0,377,7,29,46,22,24
06037189102,3858,2930,39,9,507,17,124,232,78,154
06037189201,2908,1975,45,19,201,0,376,292,220,72
06037189202,2948,1982,84,6,325,0,76,475,153,322
06037189300,2930,2084,77,7,503,0,137,122,0,122
06037189400,3017,2218,349,0,93,0,35,322,187,135
06037189501,2182,1794,187,0,103,0,80,18,18,0
06037189502,1875,1177,184,0,122,17,188,187,137,50
06037189600,3693,2665,131,46,296,0,183,372,243,129
06037189702,2283,1863,121,0,7,0,61,231,108,123
06037189703,1872,1162,291,0,294,0,69,56,40,16
06037189704,1561,1235,24,0,96,0,27,179,71,108
06037189801,1781,1388,77,26,57,0,56,177,63,114
06037189802,1857,1339,139,0,90,0,109,180,65,115
06037189903,2235,1755,82,0,194,0,93,111,46,65
06037189904,2316,1528,149,5,146,0,274,214,157,57
06037189905,2412,1543,190,0,98,0,147,434,346,88
06037189906,2448,1489,216,0,472,0,107,164,91,73
06037189907,2429,1447,227,0,247,0,113,395,312,83
06037190101,1731,895,374,35,94,0,216,117,23,94
06037190102,2657,1370,40,38,288,0,621,300,83,217
06037190201,3031,1453,262,54,144,0,334,784,612,172
06037190202,2860,1276,647,0,497,0,151,289,153,136
06037190302,2967,1681,77,0,548,0,514,147,0,147
06037190303,2514,1816,70,97,230,0,240,61,46,15
06037190401,2845,1652,222,0,235,0,382,354,230,124
06037190402,2194,1485,107,39,206,0,114,243,128,115
06037190510,3974,1458,306,0,602,0,1396,212,141,71
06037190520,3617,1568,252,10,453,0,956,378,222,156
06037190701,1629,832,75,15,248,0,182,277,228,49
06037190702,1154,638,87,5,129,0,169,126,80,46
06037190801,3200,1448,367,72,309,18,575,411,270,141
06037190802,2794,1364,229,29,220,0,398,554,375,179
06037190901,3609,1168,161,13,109,0,1424,734,574,160
06037190902,3754,1490,286,64,100,19,1437,358,189,169
06037191000,5141,2231,336,72,1073,0,1060,369,52,317
06037191110,3584,2622,61,0,224,0,504,173,90,83
06037191120,3892,1332,45,150,463,0,1526,376,316,60
06037191201,5729,3346,169,12,516,0,1245,441,266,175
06037191203,2168,876,108,15,570,0,485,114,92,22
06037191204,1480,491,129,10,248,0,506,96,65,31
06037191301,1993,551,141,6,506,0,671,118,77,41
06037191302,1736,672,8,0,428,0,524,104,66,38
06037191410,3409,898,140,22,375,81,1703,190,111,79
06037191420,3285,857,28,0,251,0,1287,862,806,56
06037191500,5683,1987,151,25,887,6,2301,326,66,260
06037191610,3999,970,238,0,744,0,1802,245,119,126
06037191620,2768,545,82,0,674,0,1408,59,37,22
06037191710,2670,629,33,0,206,0,1494,308,296,12
06037191720,3492,1025,294,26,207,0,1714,226,183,43
06037191810,2807,787,368,104,65,36,1326,121,88,33
06037191820,3803,1889,222,15,490,0,661,526,288,238
06037191901,3932,2084,407,35,183,28,466,729,328,401
06037191902,2836,2043,44,3,320,0,215,211,85,126
06037192001,2131,1458,219,7,214,0,73,160,79,81
06037192002,2586,2023,74,0,165,7,46,271,103,168
06037192300,2594,1517,108,0,436,0,97,436,283,153
06037192410,4066,2499,199,29,684,0,123,532,418,114
06037192420,3564,896,104,83,1318,0,850,313,189,124
06037192510,3711,460,9,5,1540,25,1210,462,351,111
06037192520,5119,958,257,8,746,43,2845,262,217,45
06037192610,3958,965,142,149,456,0,2054,192,40,152
06037192620,3562,635,121,190,789,0,1404,423,415,8
